fit_id,sim_id,max_t,data_takeover_speed,immunity_model,R₀_model,prior_takeover_speed,CDR_model,IHR_model
1,1,26,fast,constant,gmrf,NA,constant,constant
2,1,27,fast,constant,gmrf,NA,constant,constant
3,1,28,fast,constant,gmrf,NA,constant,constant
4,1,29,fast,constant,gmrf,NA,constant,constant
5,1,30,fast,constant,gmrf,NA,constant,constant
6,1,31,fast,constant,gmrf,NA,constant,constant
7,1,32,fast,constant,gmrf,NA,constant,constant
8,1,33,fast,constant,gmrf,NA,constant,constant
9,1,21,medium,constant,gmrf,NA,constant,constant
10,1,22,medium,constant,gmrf,NA,constant,constant
11,1,23,medium,constant,gmrf,NA,constant,constant
12,1,24,medium,constant,gmrf,NA,constant,constant
13,1,25,medium,constant,gmrf,NA,constant,constant
14,1,26,medium,constant,gmrf,NA,constant,constant
15,1,27,medium,constant,gmrf,NA,constant,constant
16,1,28,medium,constant,gmrf,NA,constant,constant
17,1,29,medium,constant,gmrf,NA,constant,constant
18,1,30,medium,constant,gmrf,NA,constant,constant
19,1,31,medium,constant,gmrf,NA,constant,constant
20,1,32,medium,constant,gmrf,NA,constant,constant
21,1,33,medium,constant,gmrf,NA,constant,constant
22,1,34,medium,constant,gmrf,NA,constant,constant
23,1,16,slow,constant,gmrf,NA,constant,constant
24,1,17,slow,constant,gmrf,NA,constant,constant
25,1,18,slow,constant,gmrf,NA,constant,constant
26,1,19,slow,constant,gmrf,NA,constant,constant
27,1,20,slow,constant,gmrf,NA,constant,constant
28,1,21,slow,constant,gmrf,NA,constant,constant
29,1,22,slow,constant,gmrf,NA,constant,constant
30,1,23,slow,constant,gmrf,NA,constant,constant
31,1,24,slow,constant,gmrf,NA,constant,constant
32,1,25,slow,constant,gmrf,NA,constant,constant
33,1,26,slow,constant,gmrf,NA,constant,constant
34,1,27,slow,constant,gmrf,NA,constant,constant
35,1,28,slow,constant,gmrf,NA,constant,constant
36,1,29,slow,constant,gmrf,NA,constant,constant
37,1,30,slow,constant,gmrf,NA,constant,constant
38,1,31,slow,constant,gmrf,NA,constant,constant
39,1,32,slow,constant,gmrf,NA,constant,constant
40,1,33,slow,constant,gmrf,NA,constant,constant
41,1,34,slow,constant,gmrf,NA,constant,constant
42,1,35,slow,constant,gmrf,NA,constant,constant
43,1,36,slow,constant,gmrf,NA,constant,constant
44,1,37,slow,constant,gmrf,NA,constant,constant
45,1,38,slow,constant,gmrf,NA,constant,constant
46,1,39,slow,constant,gmrf,NA,constant,constant
47,1,40,slow,constant,gmrf,NA,constant,constant
48,1,41,slow,constant,gmrf,NA,constant,constant
49,1,26,fast,gmrf,constant,NA,constant,constant
50,1,27,fast,gmrf,constant,NA,constant,constant
51,1,28,fast,gmrf,constant,NA,constant,constant
52,1,29,fast,gmrf,constant,NA,constant,constant
53,1,30,fast,gmrf,constant,NA,constant,constant
54,1,31,fast,gmrf,constant,NA,constant,constant
55,1,32,fast,gmrf,constant,NA,constant,constant
56,1,33,fast,gmrf,constant,NA,constant,constant
57,1,21,medium,gmrf,constant,NA,constant,constant
58,1,22,medium,gmrf,constant,NA,constant,constant
59,1,23,medium,gmrf,constant,NA,constant,constant
60,1,24,medium,gmrf,constant,NA,constant,constant
61,1,25,medium,gmrf,constant,NA,constant,constant
62,1,26,medium,gmrf,constant,NA,constant,constant
63,1,27,medium,gmrf,constant,NA,constant,constant
64,1,28,medium,gmrf,constant,NA,constant,constant
65,1,29,medium,gmrf,constant,NA,constant,constant
66,1,30,medium,gmrf,constant,NA,constant,constant
67,1,31,medium,gmrf,constant,NA,constant,constant
68,1,32,medium,gmrf,constant,NA,constant,constant
